EventNumber,ParticipantID,ClipNumber,Speed,BrakingIntensity,MergingDistance,PerceivedRiskRating
1,190,2,80,-2,5,4
1,208,2,80,-2,5,1
1,215,2,80,-2,5,3
1,217,2,80,-2,5,4
1,222,2,80,-2,5,5
1,229,2,80,-2,5,1
1,248,2,80,-2,5,4
1,249,2,80,-2,5,3
1,254,2,80,-2,5,5
1,261,2,80,-2,5,4
1,267,2,80,-2,5,2
1,274,2,80,-2,5,5
1,283,2,80,-2,5,1
1,296,2,80,-2,5,6
1,314,2,80,-2,5,3
1,319,2,80,-2,5,5
1,325,2,80,-2,5,1
1,352,2,80,-2,5,2
1,370,2,80,-2,5,6
1,389,2,80,-2,5,3
1,396,2,80,-2,5,4
1,397,2,80,-2,5,1
1,404,2,80,-2,5,3
1,416,2,80,-2,5,1
1,418,2,80,-2,5,1
1,423,2,80,-2,5,1
1,428,2,80,-2,5,2
1,430,2,80,-2,5,5
1,432,2,80,-2,5,3
1,440,2,80,-2,5,7
1,443,2,80,-2,5,3
1,445,2,80,-2,5,4
1,446,2,80,-2,5,3
1,447,2,80,-2,5,1
1,456,2,80,-2,5,2
1,459,2,80,-2,5,3
1,462,2,80,-2,5,6
1,465,2,80,-2,5,8
1,476,2,80,-2,5,8
1,480,2,80,-2,5,1
1,492,2,80,-2,5,3
1,497,2,80,-2,5,8
1,499,2,80,-2,5,2
1,508,2,80,-2,5,1
1,510,2,80,-2,5,8
1,514,2,80,-2,5,5
1,523,2,80,-2,5,4
1,529,2,80,-2,5,6
1,531,2,80,-2,5,8
1,537,2,80,-2,5,4
1,543,2,80,-2,5,2
1,549,2,80,-2,5,5
1,551,2,80,-2,5,2
1,561,2,80,-2,5,7
1,562,2,80,-2,5,5
1,569,2,80,-2,5,6
1,573,2,80,-2,5,1
1,578,2,80,-2,5,4
1,595,2,80,-2,5,5
1,610,2,80,-2,5,3
1,613,2,80,-2,5,5
1,623,2,80,-2,5,9
1,635,2,80,-2,5,7
1,649,2,80,-2,5,4
1,659,2,80,-2,5,7
1,661,2,80,-2,5,1
1,665,2,80,-2,5,3
1,667,2,80,-2,5,5
1,670,2,80,-2,5,7
1,671,2,80,-2,5,2
1,675,2,80,-2,5,4
1,687,2,80,-2,5,6
1,700,2,80,-2,5,4
1,711,2,80,-2,5,1
1,722,2,80,-2,5,5
1,729,2,80,-2,5,6
1,735,2,80,-2,5,2
1,736,2,80,-2,5,8
1,739,2,80,-2,5,4
1,747,2,80,-2,5,4
1,752,2,80,-2,5,2
1,753,2,80,-2,5,1
1,754,2,80,-2,5,3
1,765,2,80,-2,5,3
1,766,2,80,-2,5,2
1,768,2,80,-2,5,7
1,769,2,80,-2,5,5
1,773,2,80,-2,5,4
1,785,2,80,-2,5,1
1,797,2,80,-2,5,4
1,815,2,80,-2,5,4
1,816,2,80,-2,5,4
1,819,2,80,-2,5,1
1,821,2,80,-2,5,7
1,822,2,80,-2,5,2
1,825,2,80,-2,5,6
1,829,2,80,-2,5,5
1,852,2,80,-2,5,2
1,857,2,80,-2,5,5
1,858,2,80,-2,5,6
1,860,2,80,-2,5,1
1,879,2,80,-2,5,4
1,880,2,80,-2,5,5
1,881,2,80,-2,5,2
1,890,2,80,-2,5,7
1,891,2,80,-2,5,7
1,900,2,80,-2,5,6
1,901,2,80,-2,5,3
1,903,2,80,-2,5,5
1,931,2,80,-2,5,1
1,934,2,80,-2,5,5
1,939,2,80,-2,5,5
1,948,2,80,-2,5,1
1,963,2,80,-2,5,5
1,967,2,80,-2,5,2
1,970,2,80,-2,5,3
1,971,2,80,-2,5,8
1,972,2,80,-2,5,5
1,993,2,80,-2,5,3
1,994,2,80,-2,5,5
1,999,2,80,-2,5,6
1,1006,2,80,-2,5,5
1,1007,2,80,-2,5,3
1,1008,2,80,-2,5,5
1,1011,2,80,-2,5,2
1,1015,2,80,-2,5,1
1,1031,2,80,-2,5,2
1,1052,2,80,-2,5,1
1,1054,2,80,-2,5,2
1,1057,2,80,-2,5,3
1,1061,2,80,-2,5,5
1,1069,2,80,-2,5,2
1,1077,2,80,-2,5,4
1,1078,2,80,-2,5,2
1,1084,2,80,-2,5,7
1,1093,2,80,-2,5,6
1,1101,2,80,-2,5,2
1,1113,2,80,-2,5,2
1,1132,2,80,-2,5,5
1,1145,2,80,-2,5,6
1,1156,2,80,-2,5,1
1,1158,2,80,-2,5,3
1,1160,2,80,-2,5,1
1,1164,2,80,-2,5,3
1,1173,2,80,-2,5,3
1,1174,2,80,-2,5,1
1,1185,2,80,-2,5,1
1,1197,2,80,-2,5,2
1,1200,2,80,-2,5,1
1,1217,2,80,-2,5,5
1,1218,2,80,-2,5,7
1,1219,2,80,-2,5,9
1,1223,2,80,-2,5,6
1,1229,2,80,-2,5,2
1,1232,2,80,-2,5,2
1,1246,2,80,-2,5,2
1,1253,2,80,-2,5,4
1,1256,2,80,-2,5,2
1,1257,2,80,-2,5,6
1,1259,2,80,-2,5,8
1,1263,2,80,-2,5,3
1,1265,2,80,-2,5,7
1,1267,2,80,-2,5,2
1,1285,2,80,-2,5,5
1,1301,2,80,-2,5,4
1,1320,2,80,-2,5,1
1,1326,2,80,-2,5,1
1,1328,2,80,-2,5,7
1,1345,2,80,-2,5,2
1,1353,2,80,-2,5,0
1,1354,2,80,-2,5,2
1,1368,2,80,-2,5,5
1,1371,2,80,-2,5,2
1,1373,2,80,-2,5,1
1,1381,2,80,-2,5,2
1,1392,2,80,-2,5,1
1,1394,2,80,-2,5,5
1,1403,2,80,-2,5,7
1,1409,2,80,-2,5,2
1,1416,2,80,-2,5,8
1,1425,2,80,-2,5,3
1,1430,2,80,-2,5,4
1,1439,2,80,-2,5,10
1,1453,2,80,-2,5,1
1,1454,2,80,-2,5,5
1,1469,2,80,-2,5,4
1,1472,2,80,-2,5,5
1,1479,2,80,-2,5,1
1,1480,2,80,-2,5,3
1,1487,2,80,-2,5,8
1,1492,2,80,-2,5,4
1,1496,2,80,-2,5,4
1,1519,2,80,-2,5,1
1,1520,2,80,-2,5,4
1,1529,2,80,-2,5,4
1,1540,2,80,-2,5,6
1,1546,2,80,-2,5,5
1,1547,2,80,-2,5,6
1,1551,2,80,-2,5,2
1,1554,2,80,-2,5,2
1,1572,2,80,-2,5,5
1,1578,2,80,-2,5,3
1,1579,2,80,-2,5,3
1,1587,2,80,-2,5,2
1,1588,2,80,-2,5,7
1,1599,2,80,-2,5,2
1,1606,2,80,-2,5,3
1,1611,2,80,-2,5,7
1,1613,2,80,-2,5,4
1,1617,2,80,-2,5,3
1,1632,2,80,-2,5,5
1,1641,2,80,-2,5,2
1,1644,2,80,-2,5,4
1,1646,2,80,-2,5,6
1,1666,2,80,-2,5,7
1,1673,2,80,-2,5,2
1,1676,2,80,-2,5,4
1,1680,2,80,-2,5,4
1,1684,2,80,-2,5,5
1,1692,2,80,-2,5,6
1,1705,2,80,-2,5,4
1,1707,2,80,-2,5,5
1,1712,2,80,-2,5,10
1,1722,2,80,-2,5,5
1,1736,2,80,-2,5,4
1,1741,2,80,-2,5,6
1,1742,2,80,-2,5,3
1,1749,2,80,-2,5,7
1,1755,2,80,-2,5,4
1,1769,2,80,-2,5,7
1,1774,2,80,-2,5,1
1,1786,2,80,-2,5,1
1,1789,2,80,-2,5,4
1,1794,2,80,-2,5,2
1,1808,2,80,-2,5,7
1,1811,2,80,-2,5,5
1,1815,2,80,-2,5,3
1,1820,2,80,-2,5,1
1,1826,2,80,-2,5,2
1,1837,2,80,-2,5,5
1,1840,2,80,-2,5,6
1,1844,2,80,-2,5,4
1,1856,2,80,-2,5,4
1,1862,2,80,-2,5,4
1,1871,2,80,-2,5,1
1,1878,2,80,-2,5,4
1,1882,2,80,-2,5,1
1,1888,2,80,-2,5,1
1,1892,2,80,-2,5,10
1,1900,2,80,-2,5,7
1,1909,2,80,-2,5,8
1,1915,2,80,-2,5,2
1,1920,2,80,-2,5,1
1,1925,2,80,-2,5,1
1,1935,2,80,-2,5,1
1,1943,2,80,-2,5,2
1,1949,2,80,-2,5,7
1,1954,2,80,-2,5,5
1,1969,2,80,-2,5,3
1,1971,2,80,-2,5,5
1,1974,2,80,-2,5,2
1,1982,2,80,-2,5,5
1,1986,2,80,-2,5,5
1,1992,2,80,-2,5,5
1,2001,2,80,-2,5,5
1,2008,2,80,-2,5,4
1,2011,2,80,-2,5,6
1,2019,2,80,-2,5,4
1,2021,2,80,-2,5,9
1,2035,2,80,-2,5,5
1,2046,2,80,-2,5,4
1,2051,2,80,-2,5,2
1,2060,2,80,-2,5,3
1,2065,2,80,-2,5,1
1,2071,2,80,-2,5,4
1,2079,2,80,-2,5,3
1,2085,2,80,-2,5,5
1,2089,2,80,-2,5,1
1,2095,2,80,-2,5,6
1,2105,2,80,-2,5,4
1,2106,2,80,-2,5,5
1,2114,2,80,-2,5,2
