EventNumber,ParticipantID,ClipNumber,Speed,BrakingIntensity,MergingDistance,PerceivedRiskRating
1,1966,2,80,-2,5,3
1,1974,2,80,-2,5,1
1,1983,2,80,-2,5,1
1,2000,2,80,-2,5,2
1,2005,2,80,-2,5,1
1,2009,2,80,-2,5,2
1,2038,2,80,-2,5,1
1,2051,2,80,-2,5,1
1,2055,2,80,-2,5,1
1,2064,2,80,-2,5,1
1,2079,2,80,-2,5,1
1,2084,2,80,-2,5,1
1,2111,2,80,-2,5,3
1,2115,2,80,-2,5,4
1,2125,2,80,-2,5,2
1,2127,2,80,-2,5,1
1,2143,2,80,-2,5,2
1,6,3,80,-2,5,3
1,8,3,80,-2,5,5
1,13,3,80,-2,5,1
1,19,3,80,-2,5,8
1,27,3,80,-2,5,5
1,28,3,80,-2,5,1
1,41,3,80,-2,5,2
1,54,3,80,-2,5,6
1,64,3,80,-2,5,7
1,65,3,80,-2,5,3
1,67,3,80,-2,5,3
1,68,3,80,-2,5,3
1,70,3,80,-2,5,6
1,80,3,80,-2,5,3
1,82,3,80,-2,5,5
1,85,3,80,-2,5,2
1,114,3,80,-2,5,8
1,115,3,80,-2,5,2
1,123,3,80,-2,5,2
1,124,3,80,-2,5,0
1,128,3,80,-2,5,1
1,131,3,80,-2,5,5
1,138,3,80,-2,5,2
1,144,3,80,-2,5,5
1,146,3,80,-2,5,4
1,166,3,80,-2,5,4
1,188,3,80,-2,5,4
1,190,3,80,-2,5,3
1,197,3,80,-2,5,1
1,213,3,80,-2,5,7
1,218,3,80,-2,5,4
1,232,3,80,-2,5,2
1,236,3,80,-2,5,2
1,258,3,80,-2,5,3
1,281,3,80,-2,5,3
1,299,3,80,-2,5,2
1,304,3,80,-2,5,1
1,314,3,80,-2,5,4
1,316,3,80,-2,5,2
1,329,3,80,-2,5,4
1,343,3,80,-2,5,2
1,353,3,80,-2,5,4
1,355,3,80,-2,5,2
1,360,3,80,-2,5,3
1,363,3,80,-2,5,2
1,375,3,80,-2,5,2
1,379,3,80,-2,5,2
1,396,3,80,-2,5,5
1,401,3,80,-2,5,5
1,420,3,80,-2,5,4
1,421,3,80,-2,5,4
1,433,3,80,-2,5,3
1,436,3,80,-2,5,3
1,443,3,80,-2,5,5
1,446,3,80,-2,5,5
1,449,3,80,-2,5,1
1,464,3,80,-2,5,2
1,467,3,80,-2,5,4
1,475,3,80,-2,5,4
1,492,3,80,-2,5,4
1,493,3,80,-2,5,4
1,500,3,80,-2,5,7
1,503,3,80,-2,5,5
1,506,3,80,-2,5,3
1,510,3,80,-2,5,2
1,523,3,80,-2,5,7
1,529,3,80,-2,5,3
1,538,3,80,-2,5,6
1,547,3,80,-2,5,5
1,554,3,80,-2,5,4
1,578,3,80,-2,5,4
1,582,3,80,-2,5,6
1,583,3,80,-2,5,5
1,599,3,80,-2,5,4
1,604,3,80,-2,5,7
1,607,3,80,-2,5,5
1,616,3,80,-2,5,9
1,625,3,80,-2,5,1
1,647,3,80,-2,5,4
1,655,3,80,-2,5,2
1,659,3,80,-2,5,4
